ein,name,city,state,country,organization type,strein,guidestar_url,asset_amount,income_amount,revenue_amount
134367895,VFW Auxiliary to Bridgeport Memorial Post 8440,Bridgeport,NY,United States,EO,13-4367895,https://www.guidestar.org/profile/13-4367895,0.0,0.0,0.0
591758962,Harlowe Volunteer Fire Dept of Craven & Carteret Counties Nc,Havelock,NC,United States,EO,59-1758962,https://www.guidestar.org/profile/59-1758962,1427925.0,409920.0,409920.0
842523945,Cobblestone Cemetery Association Inc.,Walworth,WI,United States,EO,84-2523945,https://www.guidestar.org/profile/84-2523945,0.0,0.0,0.0
752444146,Lake Brownwood Volunteer Fire Department Inc.,Brownwood,TX,United States,EO,75-2444146,https://www.guidestar.org/profile/75-2444146,82650.0,61292.0,61292.0
311189877,Fairview Cemetery Association,Woodsfield,OH,United States,EO,31-1189877,https://www.guidestar.org/profile/31-1189877,0.0,0.0,0.0
463525772,American Legion Auxiliary Unit 332 of Social Circle Inc.,Social Circle,GA,United States,EO,46-3525772,https://www.guidestar.org/profile/46-3525772,0.0,0.0,0.0
822027383,Suffolk Firefighters Emerald Society Inc.,Hauppauge,NY,United States,"EO,LODGE",82-2027383,https://www.guidestar.org/profile/82-2027383,8951.0,40297.0,40297.0
813507453,Nspire Outreach Ministries Inc.,Lawrenceville,GA,United States,GROUP,81-3507453,https://www.guidestar.org/profile/81-3507453,,,
461627552,Southwest Homeless Coalition,Dickinson,ND,United States,PC,46-1627552,https://www.guidestar.org/profile/46-1627552,0.0,0.0,0.0
760406936,Texas Teo-Chew Temple,Houston,TX,United States,PC,76-0406936,https://www.guidestar.org/profile/76-0406936,2966191.0,479647.0,576899.0
846002376,Evergreen Conference,Lakewood,CO,United States,PC,84-6002376,https://www.guidestar.org/profile/84-6002376,0.0,0.0,0.0
770412451,Jesuit Institute for Family Life,Los Altos,CA,United States,PC,77-0412451,https://www.guidestar.org/profile/77-0412451,114389.0,90229.0,90229.0
237030166,Mission American Youth,Cedar Hill,TX,United States,PC,23-7030166,https://www.guidestar.org/profile/23-7030166,0.0,0.0,0.0
260706532,Allen East Community Center Inc.,Harrod,OH,United States,PC,26-0706532,https://www.guidestar.org/profile/26-0706532,9588.0,90407.0,64766.0
910567261,Wellspring Family Services,Seattle,WA,United States,PC,91-0567261,https://www.guidestar.org/profile/91-0567261,14275609.0,12124048.0,12019882.0
832764895,East Ky Baseball Club Co,Clay City,KY,United States,PC,83-2764895,https://www.guidestar.org/profile/83-2764895,,,
834678597,Purpose Inc.,Wheeling,WV,United States,PC,83-4678597,https://www.guidestar.org/profile/83-4678597,0.0,0.0,0.0
463485071,New Way of Life Inc.,Pawtucket,RI,United States,PC,46-3485071,https://www.guidestar.org/profile/46-3485071,0.0,0.0,0.0
30342411,Vermont Stage Company Inc.,Burlington,VT,United States,PC,03-0342411,https://www.guidestar.org/profile/03-0342411,211436.0,522733.0,521150.0
464994027,Rusty S Angels Sanctuary,New River,AZ,United States,PC,46-4994027,https://www.guidestar.org/profile/46-4994027,329871.0,392466.0,392466.0
133979889,American Friends of Kollel Ohr Yosef,Brooklyn,NY,United States,PC,13-3979889,https://www.guidestar.org/profile/13-3979889,711620.0,26577.0,26577.0
112974460,Woodbury Jewish Center,Woodbury,NY,United States,PC,11-2974460,https://www.guidestar.org/profile/11-2974460,,,
910828618,Possca Incorporated,Tumwater,WA,United States,PC,91-0828618,https://www.guidestar.org/profile/91-0828618,0.0,0.0,0.0
131656610,American Physical Society,College Park,MD,United States,PC,13-1656610,https://www.guidestar.org/profile/13-1656610,214341835.0,84001884.0,66847137.0
133688840,Housing 2000 Housing Development Fund Corp,New York,NY,United States,PC,13-3688840,https://www.guidestar.org/profile/13-3688840,4763048.0,1569935.0,1569935.0
50541322,Salt Lake Chinese Choir,W Valley City,UT,United States,PC,05-0541322,https://www.guidestar.org/profile/05-0541322,0.0,0.0,0.0
363981605,Devry Educational Fund,Naperville,IL,United States,PC,36-3981605,https://www.guidestar.org/profile/36-3981605,0.0,0.0,0.0
460658752,Film Advocacy Inc.,Jupiter,FL,United States,PC,46-0658752,https://www.guidestar.org/profile/46-0658752,0.0,0.0,0.0
470611457,Lincoln Lutheran Choir,Lincoln,NE,United States,PC,47-0611457,https://www.guidestar.org/profile/47-0611457,0.0,0.0,0.0
562003552,Creative Learning Center of North Carolina Inc.,Southern Pnes,NC,United States,PC,56-2003552,https://www.guidestar.org/profile/56-2003552,,,
20559022,City of Faith Ministries,Romulus,MI,United States,PC,02-0559022,https://www.guidestar.org/profile/02-0559022,0.0,0.0,0.0
331025742,Ths Cheerleaders Booster Club,Temple,TX,United States,PC,33-1025742,https://www.guidestar.org/profile/33-1025742,0.0,0.0,0.0
363699671,Falls City Mini Park Inc.,Falls City,NE,United States,PC,36-3699671,https://www.guidestar.org/profile/36-3699671,0.0,0.0,0.0
825332904,Etowah Christmas for Kids,Etowah,TN,United States,PC,82-5332904,https://www.guidestar.org/profile/82-5332904,0.0,0.0,0.0
363088628,Erie Family Health Center Inc.,Chicago,IL,United States,PC,36-3088628,https://www.guidestar.org/profile/36-3088628,0.0,0.0,0.0
237209115,Community Career Development Inc.,Los Angeles,CA,United States,PC,23-7209115,https://www.guidestar.org/profile/23-7209115,0.0,0.0,0.0
831728929,Ablevet Inc.,Palm Coast,FL,United States,PC,83-1728929,https://www.guidestar.org/profile/83-1728929,0.0,0.0,0.0
952513764,Western Little League of Tustin Inc.,Tustin,CA,United States,PC,95-2513764,https://www.guidestar.org/profile/95-2513764,0.0,0.0,0.0
134064641,Archaeos Inc.,New York,NY,United States,PC,13-4064641,https://www.guidestar.org/profile/13-4064641,0.0,0.0,0.0
364059788,The Second Chance Adoption Organization,Elk Grove Vlg,IL,United States,PC,36-4059788,https://www.guidestar.org/profile/36-4059788,0.0,0.0,0.0
954189855,Pacific Coast Chapter of Northern Caribbean University Alumni Associ,Beaumont,CA,United States,PC,95-4189855,https://www.guidestar.org/profile/95-4189855,0.0,0.0,0.0
943217623,Free Willy Keiko Foundation Inc.,Berkeley,CA,United States,PC,94-3217623,https://www.guidestar.org/profile/94-3217623,0.0,0.0,0.0
814150129,United Photo Industries Inc.,Brooklyn,NY,United States,PC,81-4150129,https://www.guidestar.org/profile/81-4150129,0.0,0.0,0.0
